protein_id	split	source	pdb_file	status	ca_residues	sequence_length	structure_sequence_coverage	error
7A23_A	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_A.pdb	ok	429	486	0.8827160493827161	
7A23_B	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_B.pdb	ok	219	255	0.8588235294117647	
7A23_C	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_C.pdb	ok	693	748	0.9264705882352942	
7A23_D	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_D.pdb	ok	177	222	0.7972972972972973	
7A23_F	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_F.pdb	ok	178	190	0.9368421052631579	
7A23_G	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_G.pdb	ok	382	394	0.9695431472081218	
7A23_H	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_H.pdb	ok	318	325	0.9784615384615385	
7A23_I	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_I.pdb	ok	481	499	0.9639278557114228	
7A23_J	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_J.pdb	ok	96	119	0.8067226890756303	
7A23_M	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_M.pdb	ok	482	495	0.9737373737373738	
7A23_N	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_N.pdb	ok	149	205	0.7268292682926829	
7A23_O	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_O.pdb	ok	111	154	0.7207792207792207	
7A23_P	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_P.pdb	ok	71	110	0.6454545454545455	
7A23_Q	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_Q.pdb	ok	92	97	0.9484536082474226	
7A23_R	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_R.pdb	ok	129	169	0.7633136094674556	
7A23_T	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_T.pdb	ok	328	402	0.8159203980099502	
7A23_U	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_U.pdb	ok	122	159	0.7672955974842768	
7A23_V	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_V.pdb	ok	57	65	0.8769230769230769	
7A23_X	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_X.pdb	ok	103	133	0.7744360902255639	
7A23_Y	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_Y.pdb	ok	98	106	0.9245283018867925	
7A23_Z	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_Z.pdb	ok	140	143	0.9790209790209791	
7A23_a	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_a.pdb	ok	600	669	0.8968609865470852	
7A23_b	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_b.pdb	ok	63	103	0.6116504854368932	
7A23_d	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_d.pdb	ok	66	117	0.5641025641025641	
7A23_e	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_e.pdb	ok	84	126	0.6666666666666666	
7A23_f	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_f.pdb	ok	76	107	0.7102803738317757	
7A23_h	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_h.pdb	ok	28	69	0.4057971014492754	
7A23_j	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_j.pdb	ok	68	83	0.8192771084337349	
7A23_k	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_k.pdb	ok	78	122	0.639344262295082	
7A23_n	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_n.pdb	ok	27	113	0.23893805309734514	
7A23_o	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_o.pdb	ok	202	252	0.8015873015873016	
7A23_p	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_p.pdb	ok	224	275	0.8145454545454546	
7A23_q	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_q.pdb	ok	228	275	0.8290909090909091	
7A23_t	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/7A23.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/7A23_t.pdb	ok	31	73	0.4246575342465753	
